Position,First_Name,Last_Name,Starts,Subs,Total_Appearances,League_Goals,Cup_Goals,Total_Goals,Yellow,Red,Bio1,Bio2,TMIR,Sponsor
Goal,Joe,Malin,7,0,7,1,2,3,0,0,"Joe was the Supporters Player of the Year in our first League Championship winning season and picked up the Players Player of the Year for our second. Last season he managed the incredible feat of only conceding 13 League goals ... unlucky for some, maybe, but certainly not for Brora.","Joe signed in July '13 and has been ever present between the sticks since then. Hero of penalty shoot-outs and often the man who has secured the points in important games, Sometimes in football the buck stops with the Goalie. And Joe stops.",No,Liam Mackenzie & David Dowling
Goal,Steven,Martin,0,7,7,0,0,0,0,0,This is Steven's second spell at Brora Rangers and we are delighted to see him back after putting on some terrific displays for Strathspey Thistle prior to returning to Dudgeon Park last October,,No,Cairngorm Group
Defence,John,Pickles,1,0,1,0,0,0,0,0,"John signed at the end of May 2015 from Orkney side Rendall FC. Usually slotting in at Right Back, John has terrific pace and an uncanny ability to read the game for a 21 year old","John took a nasty knock right at the start of the season, so we have been denied seeing the best of him for a few weeks ... except those who witnessed his game against us.",No,Ben Mackay Jnr
Defence,Ally,Macdonald,5,2,7,0,0,0,0,0,"Ally is another face we'd seen in red at Dudgeon Park. Always keen to get forward, fans have been delighted to see Ally sign a new contract","Having returned from the US, Ally put pen to paper again for Brora in August, signing a 3 year deal.",No,Shaun Carrison
Defence,Colin,Williamson,7,0,7,0,0,0,1,0,"Colin joined us at the start of 2014 and quickly established himself as a fearless member of the back four. A broken collarbone saw Colin miss much of the end of our second League Championship, but a full recovery sees him as an ever present member of the starting 11.",Colin arrived in January 2014 ... and has lived up to the reputation he built for himself at Clachnacuddin. Quick to snuff out threats from the opposition and just as quick to snatch the opportunity to score some vital goals throughout last season.,No,Rossy & Carl
Defence,Grant,Munro,6,1,7,0,0,0,0,0,"Grant's experience over the past 2 seasons was invaluable in the recent success of Brora Rangers. Commanding the tight defence that saw Brora concede only 13 League goals last season, Grant has also contributed to some fine goals over the past two seasons.","Having signed for Brora from Ross County in late 2013, Grant previously chalked up 314 appearances for Inverness Caledonian Thistle and has the distinction of scoring ICTs 1000th goal.",No,Ben Mackay Snr
Defence,Scott,Houston,6,0,6,0,0,0,2,0,"Scott joined us in February 2013, signing from Muir of Ord Rovers. His turn of speed and ability to nick the ball from the toes of opposition strikers at crucial moments have seen him become a firm favourite with the Brora fans.",Additional info,No,BRFC Social Club
Defence,Lewis,Grant,2,4,6,0,0,0,0,0,Lewis was signed in the summer after coming through the youth system at Inverness Caley Thistle. He made his full debut in the 11-0 win over Rothes,Additional info,No,David Rose
Midfield,Dale,Gillespie,7,0,7,1,0,1,1,0,Short Bio,Additional info,Yes,Jimmy Murray
Midfield,Richard,Brittain,1,6,7,0,0,0,0,0,Short Bio,Additional info,No,The Carters
Midfield,Stuart,Kettlewell,2,5,7,1,0,1,1,0,Short Bio,Additional info,No,Lacey & Aiden Maclennan
Midfield,Gavin,Morrison,4,1,5,0,0,0,1,0,Short Bio,Additional info,No,Pictii Photography
Midfield,Martin,Maclean,4,3,7,0,0,0,1,0,Short Bio,Additional info,No,Rossi & Denise
,Colin,Maclean,0,3,3,0,0,0,0,0,"Colin joined our Under 15 squad back in 2012 and bagged a hat trick on his debut. He has since shown his ability to continue scoring in the first team, with an amazing 6 goals against Fort William.",Colin is currently on loan to Clachnacuddin until 20th December 2015,No,John & Catherine Rose / Laurence Macrae
,Adam,Porrit,0,6,6,0,0,0,0,0,Short Bio,Additional info,No,Trevor Sutherland
,Connor,Lyall,0,0,0,0,0,0,0,0,"The youngster from Invergordon was recently released by Ross County. Richard and Stuart immediately advised Brora to add him to our side, and you can't ask for a better recommendation than that.","Connor will benefit greatly from the experience working with the first team, and we look forward to see him gaining a regular place in the team.",No,Katie Powell
Forward,Zander,Sutherland,7,0,7,6,0,6,2,0,,Additional info,No,Milo Jay Ainsworth & Wii Fish
Forward,Paul,Brindle,4,3,7,4,0,4,1,0,"Another new face for the 2015/16 season, Paul has already made quite an impressive start. Signed from Clachnacuddin over the summer, Paul's hunger for goals and quickness to settle in to his new side saw him get on the score sheet in his first League game.",Signing on the same day as Richard Brittain probably pushed Paul somewhat down the headlines back at the start of June. Since then Paul has let his playing do the talking and is definitely headline news with supporters.,No,Adrian Boyle
Midfield,Scott,Graham,3,3,6,0,0,0,0,0,,Additional info,No,Kevin & Deirdre Mackay
Forward,Steven,Mackay,6,0,6,9,1,10,0,0,Short Bio,Additional info,Yes,JD Consulting / Kyle Jack
Forward,Andrew,Greig,5,2,7,4,0,4,0,0,Short Bio,Additional info,No,Janette Carrison
