Home,Home_Score,Away,Away_Score,Date,Competition,Kick_Off,AET,Pens,Match,Hospitality,Ball,Mascot
Brora Rangers,0,ICT,3,01-07-2015,Friendly,19:45,-,-,1,no,no,no
Woodside Amateurs,1,Brora Rangers,5,04-07-2015,Friendly,15:00,-,-,2,no,no,no
Brora Rangers,0,Morton FC,1,11-07-2015,Friendly,15:00,-,-,3,no,no,no
Brora Rangers,0,Clyde FC,0,18-07-2015,Friendly,15:00,-,-,4,no,no,no
Brora Rangers,1,Wick Academy,1,22-07-2015,North of Scotland Cup,20:00,-,2 - 4,5,no,no,no
Brora Rangers,0,Alloa Athletic,1,25-07-2015,Petrofac Training Cup,15:00,-,-,6,no,no,no
Lossiemouth,0,Brora Rangers,3,29-07-2015,League,20:00,-,-,7,no,no,no
Brora Rangers,11,Rothes,0,01-08-2015,League,15:00,-,-,8,no,no,no
Buckie Thistle,1,Brora Rangers,8,08-08-2015,League,15:00,-,-,9,no,no,no
Brora Rangers,4,Keith,1,15-08-2015,League,15:00,-,-,10,no,no,no
Cove Rangers,3,Brora Rangers,0,22-08-2015,League,15:00,-,-,11,no,no,no
Fraserburgh,1,Brora Rangers,2,29-08-2015,League,15:00,-,-,12,no,no,no
Brora Rangers,3,Clachnacuddin,0,05-09-2015,League,15:00,-,-,13,no,no,no
Nairn County,1,Brora Rangers,7,09-09-2015,League,20:00,-,-,14,no,no,no
Brora Rangers,0,Formartine Utd,2,12-09-2015,League,15:00,-,-,15,no,no,no
Fort William,3,Brora Rangers,5,19-09-2015,League,15:00,-,-,16,no,no,no
Brora Rangers,1,Turriff Utd,1,03-10-2015,League,15:00,-,-,17,no,no,no
Huntly,2,Brora Rangers,3,07-10-2015,League,20:00,-,-,18,no,no,no
Brora Rangers,3,Strathspey Thistle,0,10-10-2015,League,15:00,-,-,19,no,no,no
Brora Rangers,6,Forres Mechanics,0,17-10-2015,League,15:00,-,-,20,no,no,no
Brora Rangers,1,Arbroath,2,24-10-2015,Scottish Cup,15:00,-,-,21,no,no,no
Inverurie Loco Works,0,Brora Rangers,1,31-10-2015,League,15:00,-,-,22,no,no,no
Deveronvale,0,Brora Rangers,2,07-11-2015,League,15:00,-,-,23,no,no,no
Brora Rangers,3,Wick Academy,1,11-11-2015,League,20:00,-,-,24,no,no,no
Brora Rangers,2,Lossiemouth,0,14-11-2015,League,15:00,-,-,25,no,no,no
Brora Rangers,4,Buckie Thistle,0,18-11-2015,League,20:00,-,-,27,no,no,no
Rothes,0,Brora Rangers,7,21-11-2015,League,15:00,-,-,28,no,no,no
Keith,2,Brora Rangers,6,05-12-2015,League,15:00,-,-,29,no,no,no
Brora Rangers,2,Cove Rangers,0,12-12-2015,League,15:00,-,-,30,no,no,no
Brora Rangers,6,Fraserburgh,0,19-12-2015,League,15:00,-,-,31,no,no,no
Clachnacuddin,1,Brora Rangers,10,26-12-2015,League,15:00,-,-,32,no,no,no
