Club,hpl,apl,hGF,hGA,hW,hD,hL,aGF,aGA,aW,aD,aL,tGF,tGA,tGD,hGFpG,hGApG,aGFpG,aGApG,tGFpG,tGApG,tW,tD,tL,Points,Updated
Buckie Thistle,8,9,31,4,7,1,0,48,17,7,1,1,79,21,58,3.88,0.50,5.33,1.89,4.65,1.24,14,2,1,44,2016-11-20
Brora Rangers,9,9,42,5,7,2,0,25,11,7,0,2,67,16,51,4.67,0.56,2.78,1.22,3.72,0.89,14,2,2,44,2016-11-20
Cove Rangers,9,6,34,8,7,1,1,19,6,5,1,0,53,14,39,3.78,0.89,3.17,1.00,3.53,0.93,12,2,1,38,2016-11-20
Formartine United,8,9,27,13,5,1,2,24,15,7,0,2,51,28,23,3.38,1.63,2.67,1.67,3.00,1.65,12,1,4,37,2016-11-20
Wick Academy,8,8,14,13,2,3,3,30,13,6,1,1,44,26,18,1.75,1.63,3.75,1.63,2.75,1.63,8,4,4,28,2016-11-20
Turriff United,7,10,11,5,5,0,2,13,14,4,1,5,24,19,5,1.57,0.71,1.30,1.40,1.41,1.12,9,1,7,28,2016-11-20
Fraserburgh,8,9,16,14,4,2,2,13,12,4,2,3,29,26,3,2.00,1.75,1.44,1.33,1.71,1.53,8,4,5,28,2016-11-20
Forres Mechanics,10,7,19,20,4,2,4,16,14,3,2,2,35,34,1,1.90,2.00,2.29,2.00,2.06,2.00,7,4,6,25,2016-11-20
Clachnacuddin,9,9,9,12,3,3,3,18,21,3,3,3,27,33,-6,1.00,1.33,2.00,2.33,1.50,1.83,6,6,6,24,2016-11-20
Keith,9,9,19,19,5,0,4,15,26,3,0,6,34,45,-11,2.11,2.11,1.67,2.89,1.89,2.50,8,0,10,24,2016-11-20
Inverurie Loco Works,8,9,14,9,4,1,3,15,13,2,4,3,29,22,7,1.75,1.13,1.67,1.44,1.71,1.29,6,5,6,23,2016-11-20
Lossiemouth,9,8,15,17,3,0,6,12,15,4,1,3,27,32,-5,1.67,1.89,1.50,1.88,1.59,1.88,7,1,9,22,2016-11-20
Nairn County,10,8,16,28,2,1,7,16,16,3,2,3,32,44,-12,1.60,2.80,2.00,2.00,1.78,2.44,5,3,10,18,2016-11-20
Rothes,10,8,14,34,3,2,5,6,24,2,0,6,20,58,-38,1.40,3.40,0.75,3.00,1.11,3.22,5,2,11,17,2016-11-20
Deveronvale,8,10,16,23,2,0,6,11,19,3,1,6,27,42,-15,2.00,2.88,1.10,1.90,1.50,2.33,5,1,12,16,2016-11-20
Huntly,8,9,13,22,2,2,4,13,33,2,1,6,26,55,-29,1.63,2.75,1.44,3.67,1.53,3.24,4,3,10,15,2016-11-20
Strathspey Thistle,8,9,5,30,0,0,8,10,26,2,1,6,15,56,-41,0.63,3.75,1.11,2.89,0.88,3.29,2,1,14,7,2016-11-20
Fort William,9,9,14,36,1,0,8,8,34,1,0,8,22,70,-48,1.56,4.00,0.89,3.78,1.22,3.89,2,0,16,6,2016-11-20
